invoice,branch,city,type,gender,category,cogs,sales,date,time,payment,review
642-32-2990,a,nueva york,normal,female,food and beverages,"109,60","115,08",02/02/2019,20:48,ewallet,"6,00"
378-24-2715,b,chicago,normal,male,home and lifestyle,"106,88","112,22",1/20/2019,20:38,ewallet,"4,10"
638-60-7125,a,nueva york,normal,female,electronic accessories,"796,48","836,30",2/14/2019,17:03,credit card,"5,20"
659-36-1684,c,houston,member,male,sports and travel,"399,84","419,83",01/12/2019,12:02,credit card,"6,50"
219-22-9386,b,chicago,member,male,sports and travel,"899,64","944,62",03/09/2019,17:26,credit card,"4,20"
336-78-2147,c,houston,member,male,home and lifestyle,"511,28","536,84",3/13/2019,19:52,credit card,"4,60"
268-27-6179,b,chicago,member,female,fashion accessories,"451,76","474,35",03/09/2019,14:57,ewallet,"7,30"
668-90-8900,a,nueva york,normal,female,home and lifestyle,"655,83","688,62",03/10/2019,18:44,credit card,"4,50"
870-54-3162,a,nueva york,normal,female,sports and travel,"161,25","169,31",1/27/2019,13:26,cash,"9,00"
189-08-9157,c,houston,normal,female,fashion accessories,"285,57","299,85",01/08/2019,16:17,credit card,"5,90"
663-86-9076,c,houston,member,female,food and beverages,"548,32","575,74",01/08/2019,15:57,ewallet,"8,50"
549-84-7482,b,chicago,normal,female,sports and travel,"812,52","853,15",02/08/2019,11:15,ewallet,"7,20"
191-10-6171,b,chicago,normal,female,fashion accessories,"277,34","291,21",1/25/2019,13:18,cash,"7,50"
802-70-5316,a,nueva york,member,female,sports and travel,"552,78","580,42",03/06/2019,20:34,cash,"8,30"
695-51-0018,b,chicago,normal,female,sports and travel,"139,36","146,33",02/10/2019,18:36,cash,"7,40"
590-83-4591,b,chicago,member,male,electronic accessories,"524,70","550,94",2/17/2019,14:40,credit card,"8,80"
483-71-1164,c,houston,normal,female,health and beauty,"487,80","512,19",03/08/2019,16:43,ewallet,"5,30"
597-78-7908,c,houston,normal,male,fashion accessories,"270,66","284,19",2/18/2019,19:39,cash,"6,20"
700-81-1757,a,nueva york,normal,female,electronic accessories,"131,55","138,13",1/18/2019,20:59,credit card,"8,80"
354-39-5160,a,nueva york,member,female,home and lifestyle,"206,52","216,85",2/18/2019,15:39,cash,"9,80"
241-72-9525,b,chicago,normal,male,sports and travel,"519,10","545,06",2/16/2019,12:21,cash,"8,20"
575-30-8091,a,nueva york,normal,male,sports and travel,"580,00","609,00",3/16/2019,19:25,ewallet,"9,20"
731-81-9469,c,houston,member,female,sports and travel,"898,00","942,90",1/23/2019,13:00,credit card,"5,40"
280-17-4359,c,houston,member,male,health and beauty,"905,00","950,25",1/25/2019,13:48,cash,"8,10"
338-65-2210,c,houston,member,female,health and beauty,"686,00","720,30",02/05/2019,19:57,cash,"9,10"
488-25-4221,c,houston,member,female,food and beverages,"30,41","31,93",2/22/2019,10:36,credit card,"8,40"
239-10-7476,a,nueva york,normal,female,home and lifestyle,"467,70","491,09",1/21/2019,16:37,ewallet,"8,00"
458-41-1477,c,houston,normal,female,health and beauty,"277,56","291,44",03/08/2019,17:11,credit card,"9,50"
685-64-1609,a,nueva york,member,female,fashion accessories,"301,40","316,47",02/10/2019,12:28,ewallet,"9,20"
568-90-5112,c,houston,normal,male,health and beauty,"264,56","277,79",3/19/2019,12:46,credit card,"5,60"
262-47-2794,b,chicago,member,male,home and lifestyle,"574,88","603,62",03/06/2019,15:07,credit card,"6,20"
238-49-0436,a,nueva york,normal,male,health and beauty,"259,68","272,66",3/27/2019,13:48,credit card,"4,90"
608-96-3517,b,chicago,member,female,fashion accessories,"366,16","384,47",3/23/2019,19:20,credit card,"4,80"
584-86-7256,c,houston,member,male,sports and travel,"241,92","254,02",03/11/2019,16:07,credit card,"7,30"
746-94-0204,a,nueva york,normal,male,fashion accessories,"749,16","786,62",1/29/2019,11:56,credit card,"7,40"
214-17-6927,c,houston,normal,female,food and beverages,"98,88","103,82",02/07/2019,18:23,ewallet,"9,90"
400-89-4171,c,houston,normal,female,sports and travel,"647,76","680,15",1/28/2019,13:05,cash,"9,30"
782-95-9291,a,nueva york,member,male,food and beverages,"461,45","484,52",2/20/2019,15:55,credit card,"9,00"
279-74-2924,b,chicago,member,male,electronic accessories,"72,17","75,78",01/04/2019,19:40,cash,"6,10"
307-85-2293,b,chicago,normal,male,home and lifestyle,"251,40","263,97",03/07/2019,13:58,ewallet,"9,70"
743-04-1105,b,chicago,member,male,health and beauty,"874,98","918,73",3/30/2019,14:43,ewallet,"6,00"
423-57-2993,b,chicago,normal,male,sports and travel,"560,34","588,36",3/27/2019,19:18,ewallet,"10,00"
894-41-5205,c,houston,normal,female,food and beverages,"345,44","362,71",1/19/2019,19:39,credit card,"8,30"
275-28-0149,a,nueva york,normal,male,sports and travel,"63,69","66,87",2/25/2019,16:21,cash,"6,00"
101-17-6199,a,nueva york,normal,male,food and beverages,"320,53","336,56",3/13/2019,19:44,credit card,"7,00"
423-80-0988,c,houston,normal,male,sports and travel,"152,80","160,44",1/30/2019,19:42,ewallet,"6,50"
548-46-9322,b,chicago,normal,male,food and beverages,"399,00","418,95",2/20/2019,15:24,credit card,"5,90"
505-02-0892,b,chicago,member,male,health and beauty,"340,56","357,59",2/25/2019,14:12,ewallet,"5,60"
234-65-2137,c,houston,normal,male,home and lifestyle,"955,80","1.003,59",1/16/2019,13:32,cash,"4,80"
687-47-8271,a,nueva york,normal,male,fashion accessories,"989,80","1.039,29",02/08/2019,16:20,credit card,"8,70"
796-32-9050,a,nueva york,normal,male,food and beverages,"307,68","323,06",1/19/2019,16:31,cash,"6,50"
105-31-1824,a,nueva york,member,male,sports and travel,"486,64","510,97",02/01/2019,15:10,credit card,"8,50"
249-42-3782,a,nueva york,normal,male,health and beauty,"350,05","367,55",01/03/2019,11:36,ewallet,"5,50"
316-55-4634,b,chicago,member,male,food and beverages,"400,25","420,26",1/26/2019,12:45,credit card,"9,40"
733-33-4967,c,houston,normal,male,electronic accessories,"166,80","175,14",03/03/2019,19:17,cash,"6,30"
608-27-6295,b,chicago,member,male,electronic accessories,"317,34","333,21",1/19/2019,17:34,credit card,"9,80"
414-12-7047,b,chicago,normal,male,food and beverages,"158,32","166,24",1/18/2019,12:04,ewallet,"8,70"
827-26-2100,a,nueva york,member,male,home and lifestyle,"304,56","319,79",3/21/2019,16:21,ewallet,"8,80"
175-54-2529,a,nueva york,member,male,food and beverages,"177,36","186,23",03/03/2019,17:01,credit card,"9,60"
139-52-2867,c,houston,normal,female,fashion accessories,"157,57","165,45",2/13/2019,10:50,credit card,"4,80"
407-63-8975,a,nueva york,normal,male,food and beverages,"443,28","465,44",3/23/2019,19:16,ewallet,"4,40"
342-65-4817,c,houston,member,male,health and beauty,"260,40","273,42",1/28/2019,16:47,ewallet,"9,90"
130-98-8941,c,houston,normal,male,fashion accessories,"449,82","472,31",02/09/2019,10:00,cash,"5,70"
434-83-9547,c,houston,member,male,food and beverages,"307,76","323,15",1/23/2019,11:51,cash,"7,70"
851-28-6367,a,nueva york,member,male,sports and travel,"155,00","162,75",3/23/2019,10:55,ewallet,"8,00"
824-88-3614,c,houston,normal,male,health and beauty,"274,48","288,20",1/25/2019,15:00,ewallet,"5,70"
586-25-0848,a,nueva york,normal,female,sports and travel,"86,38","90,70",03/04/2019,11:19,credit card,"6,70"
895-66-0685,b,chicago,member,male,food and beverages,"54,24","56,95",03/05/2019,19:46,ewallet,"8,00"
305-14-0245,b,chicago,member,female,home and lifestyle,"755,92","793,72",03/03/2019,19:00,ewallet,"7,50"
732-04-5373,b,chicago,member,male,home and lifestyle,"185,88","195,17",02/08/2019,10:53,cash,"7,00"
400-60-7251,a,nueva york,normal,male,home and lifestyle,"74,07","77,77",02/10/2019,12:50,ewallet,"9,90"
593-65-1552,c,houston,normal,female,home and lifestyle,"279,24","293,20",1/28/2019,20:50,credit card,"5,90"
284-34-9626,b,chicago,normal,female,home and lifestyle,"231,12","242,68",02/11/2019,10:39,credit card,"7,20"
437-58-8131,b,chicago,normal,female,fashion accessories,"147,04","154,39",1/15/2019,13:41,ewallet,"4,60"
286-43-6208,c,houston,normal,female,food and beverages,"790,20","829,71",3/16/2019,19:08,cash,"9,20"
641-43-2399,b,chicago,normal,male,home and lifestyle,"102,20","107,31",1/26/2019,20:23,ewallet,"5,70"
831-07-6050,a,nueva york,normal,male,electronic accessories,"163,55","171,73",3/19/2019,11:30,credit card,"9,90"
556-86-3144,c,houston,member,female,fashion accessories,"74,29","78,00",1/13/2019,19:30,cash,"5,00"
848-24-9445,c,houston,member,male,health and beauty,"87,40","91,77",3/26/2019,18:03,cash,"4,90"
856-22-8149,a,nueva york,normal,female,home and lifestyle,"25,29","26,55",3/23/2019,10:13,ewallet,"6,10"
699-01-4164,c,houston,normal,male,health and beauty,"166,00","174,30",03/12/2019,19:58,credit card,"8,20"
420-11-4919,c,houston,member,female,food and beverages,"356,95","374,80",2/17/2019,19:57,credit card,"5,50"
606-80-4905,c,houston,member,female,sports and travel,"114,90","120,65",1/29/2019,10:01,credit card,"6,80"
542-41-0513,b,chicago,member,female,electronic accessories,"229,96","241,46",3/15/2019,11:57,cash,"6,60"
426-39-2418,c,houston,normal,male,electronic accessories,"429,87","451,36",1/14/2019,10:02,cash,"9,80"
875-46-5808,b,chicago,member,male,health and beauty,"259,00","271,95",02/06/2019,14:51,ewallet,"8,70"
394-43-4238,b,chicago,member,male,home and lifestyle,"88,85","93,29",2/15/2019,12:42,credit card,"5,40"
749-24-1565,a,nueva york,normal,female,health and beauty,"207,27","217,63",01/03/2019,12:02,ewallet,"7,90"
672-51-8681,c,houston,member,female,electronic accessories,"599,85","629,84",01/04/2019,18:19,credit card,"9,70"
263-87-5680,c,houston,member,female,home and lifestyle,"285,30","299,57",3/18/2019,17:38,ewallet,"7,80"
573-58-9734,b,chicago,normal,female,fashion accessories,"91,11","95,67",3/28/2019,13:41,ewallet,"5,10"
817-69-8206,b,chicago,normal,female,electronic accessories,"897,57","942,45",03/02/2019,19:42,credit card,"6,50"
888-02-0338,a,nueva york,normal,male,electronic accessories,"236,07","247,87",1/25/2019,20:24,ewallet,"5,90"
677-11-0152,c,houston,normal,female,food and beverages,"839,34","881,31",1/16/2019,18:08,cash,"8,80"
142-63-6033,b,chicago,normal,male,home and lifestyle,"461,80","484,89",3/20/2019,19:17,ewallet,"4,90"
656-16-1063,b,chicago,normal,male,sports and travel,"139,26","146,22",01/04/2019,13:24,credit card,"4,40"
891-58-8335,b,chicago,member,female,sports and travel,"207,27","217,63",03/11/2019,15:53,cash,"6,50"
802-43-8934,a,nueva york,normal,male,home and lifestyle,"18,28","19,19",3/22/2019,15:05,credit card,"8,30"
560-30-5617,b,chicago,normal,female,sports and travel,"123,85","130,04",3/24/2019,18:27,cash,"8,50"
319-74-2561,a,nueva york,member,female,electronic accessories,"283,92","298,12",2/21/2019,16:55,cash,"5,50"
549-03-9315,b,chicago,normal,male,fashion accessories,"758,96","796,91",02/12/2019,12:58,ewallet,"8,70"
790-29-1172,b,chicago,normal,female,food and beverages,"172,02","180,62",03/10/2019,18:59,credit card,"7,90"
239-36-3640,b,chicago,normal,male,electronic accessories,"272,10","285,71",1/31/2019,13:44,ewallet,"6,10"
468-01-2051,b,chicago,normal,male,food and beverages,"434,56","456,29",03/06/2019,13:46,ewallet,"5,40"
389-25-3394,c,houston,normal,male,electronic accessories,"59,05","62,00",2/17/2019,18:06,cash,"9,40"
279-62-1445,c,houston,member,female,fashion accessories,"12,54","13,17",2/21/2019,12:38,cash,"8,20"
213-72-6612,a,nueva york,normal,male,food and beverages,"86,50","90,83",3/20/2019,15:56,cash,"6,20"
746-68-6593,c,houston,member,female,sports and travel,"174,32","183,04",01/11/2019,14:29,credit card,"9,70"
836-82-5858,b,chicago,member,male,health and beauty,"624,33","655,55",1/26/2019,19:14,ewallet,"4,00"
583-72-1480,c,houston,member,male,electronic accessories,"148,24","155,65",1/31/2019,16:24,ewallet,"9,70"
466-61-5506,b,chicago,member,female,electronic accessories,"544,20","571,41",2/26/2019,10:52,cash,"5,30"
721-86-6247,a,nueva york,normal,female,home and lifestyle,"507,36","532,73",03/11/2019,12:55,ewallet,"7,40"
289-65-5721,b,chicago,normal,female,fashion accessories,"162,74","170,88",1/26/2019,19:28,cash,"6,50"
545-46-3100,b,chicago,member,female,electronic accessories,"31,77","33,36",03/12/2019,13:52,credit card,"8,70"
418-02-5978,b,chicago,normal,female,health and beauty,"756,81","794,65",02/11/2019,10:54,cash,"8,00"
269-04-5750,b,chicago,member,male,fashion accessories,"295,28","310,04",2/21/2019,18:31,cash,"6,70"
157-13-5295,a,nueva york,member,male,health and beauty,"519,40","545,37",03/09/2019,18:24,ewallet,"6,50"
645-78-8093,a,nueva york,normal,female,sports and travel,"186,28","195,59",1/20/2019,18:09,ewallet,"4,10"
211-30-9270,c,houston,normal,male,health and beauty,"87,05","91,40",1/28/2019,15:16,credit card,"4,90"
755-12-3214,c,houston,member,female,fashion accessories,"221,10","232,16",03/05/2019,17:07,credit card,"8,60"
346-84-3103,b,chicago,member,female,electronic accessories,"66,10","69,41",03/02/2019,19:26,cash,"4,30"
478-06-7835,a,nueva york,normal,male,fashion accessories,"89,69","94,17",01/11/2019,11:20,ewallet,"4,90"
540-11-4336,a,nueva york,normal,male,food and beverages,"224,46","235,68",01/11/2019,16:49,credit card,"5,60"
448-81-5016,a,nueva york,normal,male,health and beauty,"119,54","125,52",03/11/2019,12:01,credit card,"5,80"
142-72-4741,c,houston,member,male,fashion accessories,"186,40","195,72",2/28/2019,18:37,credit card,"6,00"
217-58-1179,a,nueva york,member,male,home and lifestyle,"250,60","263,13",01/05/2019,11:25,cash,"4,20"
376-02-8238,b,chicago,normal,male,home and lifestyle,"750,96","788,51",02/02/2019,18:42,credit card,"8,30"
530-90-9855,a,nueva york,member,male,home and lifestyle,"380,72","399,76",01/01/2019,14:47,cash,"5,70"
866-05-7563,b,chicago,member,female,electronic accessories,"244,20","256,41",02/09/2019,19:43,cash,"4,80"
604-70-6476,a,nueva york,member,male,fashion accessories,"89,70","94,19",1/23/2019,14:04,ewallet,"6,80"
799-71-1548,a,nueva york,member,male,electronic accessories,"310,88","326,42",01/07/2019,16:11,credit card,"8,80"
785-13-7708,b,chicago,normal,male,food and beverages,"511,42","536,99",1/14/2019,19:06,credit card,"4,20"
845-51-0542,b,chicago,member,male,food and beverages,"418,95","439,90",02/02/2019,15:34,ewallet,"6,40"
662-47-5456,c,houston,member,male,fashion accessories,"351,90","369,50",3/17/2019,19:06,credit card,"8,40"
883-17-4236,c,houston,normal,female,sports and travel,"28,78","30,22",03/02/2019,19:44,credit card,"7,20"
290-68-2984,a,nueva york,normal,male,home and lifestyle,"95,00","99,75",3/16/2019,11:22,cash,"5,20"
704-11-6354,a,nueva york,member,male,home and lifestyle,"471,20","494,76",01/06/2019,11:23,cash,"8,90"
110-48-7033,b,chicago,member,male,fashion accessories,"130,48","137,00",1/29/2019,14:12,cash,"9,00"
366-93-0948,a,nueva york,member,male,electronic accessories,"66,35","69,67",1/31/2019,10:46,credit card,"9,70"
